"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"28/12/2018","10.450","10.700","10.825","10.450","6,87M","-2,34%"
"27/12/2018","10.700","10.400","10.725","10.400","6,17M","4,39%"
"26/12/2018","10.250","10.550","10.550","10.125","3,28M","-2,61%"
"21/12/2018","10.525","10.250","10.525","10.250","7,63M","0,48%"
"20/12/2018","10.475","10.200","10.500","10.150","24,27M","2,70%"
"19/12/2018","10.200","10.100","10.225","10.025","5,85M","1,49%"
"18/12/2018","10.050","10.050","10.225","10.025","8,96M","-0,74%"
"17/12/2018","10.125","10.200","10.250","10.000","5,97M","0,25%"
"14/12/2018","10.100","9.900","10.325","9.900","14,59M","2,80%"
"13/12/2018","9.825","9.800","9.950","9.650","11,80M","1,55%"
"12/12/2018","9.675","9.775","9.800","9.550","6,88M","-0,26%"
"11/12/2018","9.700","9.725","9.750","9.650","2,85M","-0,26%"
"10/12/2018","9.725","9.650","9.750","9.550","1,20M","0,26%"
"07/12/2018","9.700","9.600","9.775","9.600","8,74M","0,00%"
"06/12/2018","9.700","9.750","9.750","9.550","4,12M","-0,51%"
"05/12/2018","9.750","9.650","9.750","9.450","2,96M","0,00%"
"04/12/2018","9.750","9.450","9.750","9.450","5,13M","1,30%"
"03/12/2018","9.625","9.975","9.975","9.625","3,88M","-2,28%"
"30/11/2018","9.850","9.700","9.875","9.675","18,51M","1,55%"
"29/11/2018","9.700","9.025","9.700","9.025","24,08M","7,78%"
"28/11/2018","9.000","8.975","9.000","8.950","3,25M","0,56%"
"27/11/2018","8.950","8.925","8.975","8.875","3,75M","0,56%"
"26/11/2018","8.900","8.975","8.975","8.850","3,16M","-0,28%"
"23/11/2018","8.925","8.975","9.000","8.875","2,86M","-0,28%"
"22/11/2018","8.950","8.875","8.950","8.850","7,28M","1,13%"
"21/11/2018","8.850","8.750","8.875","8.700","8,27M","0,85%"
"19/11/2018","8.775","8.800","8.800","8.650","3,05M","0,00%"
"16/11/2018","8.775","8.775","8.800","8.700","3,50M","0,57%"
"15/11/2018","8.725","8.700","8.775","8.675","3,11M","0,29%"
"14/11/2018","8.700","8.550","8.700","8.550","1,72M","1,75%"
"13/11/2018","8.550","8.400","8.675","8.325","2,44M","1,48%"
"12/11/2018","8.425","8.525","8.600","8.300","4,51M","-1,75%"
"09/11/2018","8.575","8.750","8.750","8.475","8,60M","-2,00%"
"08/11/2018","8.750","8.825","8.825","8.700","5,85M","0,29%"
"07/11/2018","8.725","8.950","8.975","8.675","6,28M","-1,97%"
"06/11/2018","8.900","9.000","9.000","8.825","3,14M","-0,84%"
"05/11/2018","8.975","8.950","9.000","8.925","4,03M","0,56%"
"02/11/2018","8.925","9.025","9.025","8.875","7,02M","0,00%"
"01/11/2018","8.925","8.975","9.025","8.875","4,46M","0,00%"
"31/10/2018","8.925","8.700","9.050","8.700","17,39M","3,18%"
"30/10/2018","8.650","8.650","8.800","8.600","6,59M","-1,70%"
"29/10/2018","8.800","8.850","8.850","8.750","2,50M","0,28%"
"26/10/2018","8.775","8.650","8.800","8.650","2,89M","0,00%"
"25/10/2018","8.775","8.500","8.800","8.500","2,65M","0,29%"
"24/10/2018","8.750","8.800","8.800","8.725","4,66M","0,00%"
"23/10/2018","8.750","8.675","8.800","8.675","6,62M","0,00%"
"22/10/2018","8.750","8.775","8.800","8.725","4,28M","-0,28%"
"19/10/2018","8.775","8.750","8.850","8.750","1,05M","-0,85%"
"18/10/2018","8.850","8.850","8.850","8.750","708,70K","0,57%"
"17/10/2018","8.800","8.800","8.800","8.725","3,14M","0,57%"
"16/10/2018","8.750","8.700","8.775","8.700","1,27M","0,29%"
"15/10/2018","8.725","8.725","8.750","8.675","1,85M","0,00%"
"12/10/2018","8.725","8.700","8.800","8.600","2,61M","1,75%"
"11/10/2018","8.575","8.750","8.775","8.500","2,26M","-0,58%"
"10/10/2018","8.625","8.850","8.875","8.625","4,22M","-2,82%"
"09/10/2018","8.875","8.850","8.900","8.750","2,33M","0,57%"
"08/10/2018","8.825","8.800","8.850","8.775","6,19M","0,28%"
"05/10/2018","8.800","8.825","8.875","8.725","3,27M","-0,28%"
"04/10/2018","8.825","8.800","8.925","8.750","8,67M","0,00%"
"03/10/2018","8.825","8.950","8.950","8.775","1,46M","-1,40%"
"02/10/2018","8.950","8.825","8.975","8.825","2,33M","1,42%"
"01/10/2018","8.825","8.800","8.925","8.800","2,30M","0,00%"
"28/09/2018","8.825","8.800","8.850","8.775","10,59M","0,00%"
"27/09/2018","8.825","8.725","8.850","8.700","2,38M","2,62%"
"26/09/2018","8.600","8.700","8.825","8.600","1,98M","-2,82%"
"25/09/2018","8.850","8.700","8.850","8.700","707,90K","0,57%"
"24/09/2018","8.800","8.900","8.900","8.675","1,02M","-1,68%"
"21/09/2018","8.950","8.900","8.950","8.800","3,61M","1,13%"
"20/09/2018","8.850","8.775","8.850","8.775","1,87M","1,43%"
"19/09/2018","8.725","8.875","8.875","8.675","2,29M","-0,57%"
"18/09/2018","8.775","8.900","8.900","8.650","1,79M","-0,57%"
"17/09/2018","8.825","8.950","8.950","8.800","2,27M","-1,12%"
"14/09/2018","8.925","8.875","8.950","8.825","2,55M","0,85%"
"13/09/2018","8.850","8.900","8.975","8.750","1,08M","-0,28%"
"12/09/2018","8.875","8.900","8.950","8.725","3,26M","-0,28%"
"10/09/2018","8.900","8.850","8.950","8.650","2,13M","0,56%"
"07/09/2018","8.850","8.700","8.850","8.550","4,02M","2,31%"
"06/09/2018","8.650","8.350","8.750","8.350","3,73M","2,98%"
"05/09/2018","8.400","8.625","8.625","8.325","3,22M","-2,89%"
"04/09/2018","8.650","8.775","8.800","8.625","3,43M","-0,57%"
"03/09/2018","8.700","8.775","8.775","8.675","2,37M","0,29%"
"31/08/2018","8.675","8.850","8.900","8.575","6,45M","-1,42%"
"30/08/2018","8.800","8.850","8.900","8.725","2,88M","-0,28%"
"29/08/2018","8.825","8.625","8.850","8.625","5,06M","2,32%"
"28/08/2018","8.625","8.800","8.900","8.625","3,58M","-1,99%"
"27/08/2018","8.800","8.875","8.900","8.750","1,60M","-0,85%"
"24/08/2018","8.875","8.775","8.875","8.775","1,50M","-0,56%"
"23/08/2018","8.925","8.800","8.925","8.675","2,50M","1,42%"
"21/08/2018","8.800","8.600","8.800","8.600","1,41M","2,33%"
"20/08/2018","8.600","8.675","8.750","8.600","1,95M","-0,58%"
"16/08/2018","8.650","8.300","8.675","8.300","3,22M","1,17%"
