"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"28/12/2018","3.750","3.770","3.780","3.750","48,22M","0,00%"
"27/12/2018","3.750","3.780","3.790","3.730","49,98M","0,54%"
"26/12/2018","3.730","3.730","3.750","3.700","50,42M","-0,80%"
"21/12/2018","3.760","3.700","3.770","3.700","114,75M","0,53%"
"20/12/2018","3.740","3.810","3.810","3.720","100,13M","-1,84%"
"19/12/2018","3.810","3.740","3.810","3.740","81,54M","1,87%"
"18/12/2018","3.740","3.700","3.740","3.680","79,83M","0,81%"
"17/12/2018","3.710","3.740","3.770","3.710","86,25M","-0,54%"
"14/12/2018","3.730","3.800","3.840","3.730","139,55M","-0,53%"
"13/12/2018","3.750","3.680","3.780","3.660","118,97M","2,74%"
"12/12/2018","3.650","3.660","3.670","3.620","87,33M","0,83%"
"11/12/2018","3.620","3.640","3.670","3.610","88,05M","-1,63%"
"10/12/2018","3.680","3.650","3.720","3.610","70,09M","0,27%"
"07/12/2018","3.670","3.700","3.710","3.660","92,90M","-1,08%"
"06/12/2018","3.710","3.740","3.770","3.700","62,16M","-1,59%"
"05/12/2018","3.770","3.740","3.800","3.730","58,42M","-0,26%"
"04/12/2018","3.780","3.720","3.780","3.720","121,59M","2,16%"
"03/12/2018","3.700","3.740","3.770","3.700","106,89M","0,54%"
"30/11/2018","3.680","3.760","3.780","3.680","151,55M","-1,60%"
"29/11/2018","3.740","3.770","3.810","3.710","120,92M","0,54%"
"28/11/2018","3.720","3.890","3.900","3.710","195,86M","-4,12%"
"27/11/2018","3.880","3.940","3.950","3.850","116,42M","-2,76%"
"26/11/2018","3.990","3.980","4.000","3.950","43,88M","0,00%"
"23/11/2018","3.990","3.980","4.000","3.950","35,50M","0,25%"
"22/11/2018","3.980","3.910","3.990","3.910","52,28M","0,51%"
"21/11/2018","3.960","3.860","3.960","3.850","97,53M","0,25%"
"19/11/2018","3.950","4.050","4.050","3.930","72,79M","-2,47%"
"16/11/2018","4.050","3.930","4.110","3.920","128,60M","3,58%"
"15/11/2018","3.910","3.800","3.940","3.790","71,44M","4,27%"
"14/11/2018","3.750","3.860","3.880","3.750","72,97M","-2,09%"
"13/11/2018","3.830","3.810","3.850","3.750","89,82M","-0,78%"
"12/11/2018","3.860","3.890","3.950","3.860","57,26M","-1,53%"
"09/11/2018","3.920","3.960","3.960","3.920","45,24M","-2,00%"
"08/11/2018","4.000","3.970","4.000","3.920","74,00M","1,27%"
"07/11/2018","3.950","3.900","3.950","3.870","98,35M","1,54%"
"06/11/2018","3.890","3.930","3.930","3.820","58,09M","0,00%"
"05/11/2018","3.890","3.850","3.910","3.850","60,12M","-1,27%"
"02/11/2018","3.940","3.900","3.940","3.880","98,07M","1,55%"
"01/11/2018","3.880","3.850","3.880","3.810","69,59M","0,78%"
"31/10/2018","3.850","3.850","3.870","3.730","140,35M","1,32%"
"30/10/2018","3.800","3.640","3.850","3.630","158,93M","3,83%"
"29/10/2018","3.660","3.630","3.660","3.580","54,30M","0,83%"
"26/10/2018","3.630","3.580","3.660","3.580","100,55M","2,25%"
"25/10/2018","3.550","3.490","3.580","3.460","120,11M","0,85%"
"24/10/2018","3.520","3.700","3.710","3.520","117,67M","-4,86%"
"23/10/2018","3.700","3.800","3.800","3.670","53,27M","-2,63%"
"22/10/2018","3.800","3.730","3.830","3.730","57,68M","1,88%"
"19/10/2018","3.730","3.700","3.770","3.690","140,16M","-0,80%"
"18/10/2018","3.760","3.840","3.880","3.720","102,32M","-3,59%"
"17/10/2018","3.900","3.800","3.910","3.800","122,95M","3,17%"
"16/10/2018","3.780","3.680","3.780","3.680","98,10M","3,28%"
"15/10/2018","3.660","3.700","3.750","3.650","68,47M","-0,54%"
"12/10/2018","3.680","3.630","3.700","3.620","87,99M","3,08%"
"11/10/2018","3.570","3.500","3.640","3.480","114,42M","-0,83%"
"10/10/2018","3.600","3.640","3.640","3.560","31,94M","0,28%"
"09/10/2018","3.590","3.530","3.620","3.520","58,71M","1,99%"
"08/10/2018","3.520","3.500","3.530","3.470","71,89M","-0,28%"
"05/10/2018","3.530","3.540","3.600","3.530","59,27M","-1,94%"
"04/10/2018","3.600","3.570","3.600","3.510","82,55M","0,00%"
"03/10/2018","3.600","3.570","3.640","3.570","46,61M","-0,55%"
"02/10/2018","3.620","3.640","3.670","3.580","61,39M","-1,36%"
"01/10/2018","3.670","3.610","3.690","3.610","45,50M","0,82%"
"28/09/2018","3.640","3.600","3.670","3.600","116,70M","1,68%"
"27/09/2018","3.580","3.580","3.590","3.550","49,55M","1,13%"
"26/09/2018","3.540","3.550","3.590","3.540","51,06M","-0,56%"
"25/09/2018","3.560","3.540","3.560","3.520","25,35M","0,56%"
"24/09/2018","3.540","3.590","3.600","3.510","48,10M","-1,67%"
"21/09/2018","3.600","3.630","3.630","3.550","98,58M","0,00%"
"20/09/2018","3.600","3.590","3.640","3.570","80,19M","1,41%"
"19/09/2018","3.550","3.580","3.610","3.540","88,14M","-0,56%"
"18/09/2018","3.570","3.470","3.590","3.440","132,57M","2,88%"
"17/09/2018","3.470","3.550","3.570","3.430","95,43M","-3,34%"
"14/09/2018","3.590","3.470","3.600","3.470","156,54M","4,06%"
"13/09/2018","3.450","3.370","3.470","3.370","115,20M","3,92%"
"12/09/2018","3.320","3.380","3.390","3.310","81,22M","-1,78%"
"10/09/2018","3.380","3.380","3.400","3.350","48,74M","-0,29%"
"07/09/2018","3.390","3.360","3.390","3.320","99,45M","0,89%"
"06/09/2018","3.360","3.250","3.380","3.250","172,29M","2,75%"
"05/09/2018","3.270","3.400","3.400","3.250","183,86M","-4,39%"
"04/09/2018","3.420","3.500","3.510","3.410","77,62M","-2,01%"
"03/09/2018","3.490","3.520","3.550","3.480","46,01M","0,00%"
"31/08/2018","3.490","3.500","3.520","3.460","109,92M","-0,57%"
"30/08/2018","3.510","3.580","3.590","3.510","80,35M","-1,96%"
"29/08/2018","3.580","3.560","3.610","3.520","126,71M","0,00%"
"28/08/2018","3.580","3.480","3.600","3.480","224,12M","3,47%"
"27/08/2018","3.460","3.330","3.480","3.310","142,92M","5,17%"
"24/08/2018","3.290","3.290","3.340","3.270","103,48M","-0,30%"
"23/08/2018","3.300","3.390","3.390","3.290","209,40M","-1,49%"
"21/08/2018","3.350","3.400","3.440","3.350","126,75M","-1,18%"
"20/08/2018","3.390","3.420","3.450","3.370","163,13M","1,19%"
"16/08/2018","3.350","3.390","3.430","3.350","112,65M","-2,33%"
"15/08/2018","3.430","3.350","3.450","3.310","95,53M","2,39%"
"14/08/2018","3.350","3.360","3.440","3.330","108,19M","-0,59%"
"13/08/2018","3.370","3.440","3.450","3.360","106,12M","-3,71%"
"10/08/2018","3.500","3.510","3.540","3.480","79,85M","0,29%"
"09/08/2018","3.490","3.520","3.550","3.490","110,45M","-1,69%"
"08/08/2018","3.550","3.600","3.600","3.520","109,08M","-0,84%"
"07/08/2018","3.580","3.650","3.670","3.570","111,02M","-1,92%"
"06/08/2018","3.650","3.480","3.670","3.480","231,85M","5,49%"
"03/08/2018","3.460","3.480","3.490","3.430","224,01M","-1,14%"
"02/08/2018","3.500","3.550","3.590","3.450","171,28M","-1,41%"
"01/08/2018","3.550","3.570","3.600","3.500","190,72M","-0,56%"
"31/07/2018","3.570","3.830","3.830","3.550","339,08M","-8,70%"
"30/07/2018","3.910","3.890","3.950","3.890","49,05M","-0,76%"
"27/07/2018","3.940","3.910","3.950","3.890","52,51M","0,25%"
"26/07/2018","3.930","3.920","3.940","3.890","55,76M","0,77%"
"25/07/2018","3.900","4.060","4.060","3.900","55,62M","-3,23%"
"24/07/2018","4.030","4.090","4.090","4.030","64,35M","-0,74%"
"23/07/2018","4.060","4.030","4.090","4.010","74,61M","1,75%"
"20/07/2018","3.990","3.900","3.990","3.890","66,46M","2,05%"
"19/07/2018","3.910","4.000","4.000","3.910","65,34M","-2,49%"
"18/07/2018","4.010","3.910","4.030","3.890","75,16M","1,78%"
"17/07/2018","3.940","3.970","3.970","3.890","53,74M","0,00%"
"16/07/2018","3.940","3.970","4.030","3.860","66,23M","-1,99%"
"13/07/2018","4.020","4.080","4.100","3.970","120,85M","-1,95%"
"12/07/2018","4.100","4.050","4.110","4.040","114,53M","0,99%"
"11/07/2018","4.060","4.000","4.080","3.960","144,06M","0,74%"
"10/07/2018","4.030","3.990","4.050","3.960","118,13M","1,26%"
"09/07/2018","3.980","3.900","4.000","3.880","68,80M","3,11%"
"06/07/2018","3.860","3.850","3.890","3.830","67,66M","0,78%"
"05/07/2018","3.830","3.800","3.830","3.760","59,72M","1,86%"
"04/07/2018","3.760","3.700","3.810","3.630","54,88M","1,62%"
"03/07/2018","3.700","3.740","3.740","3.670","79,44M","-1,33%"
"02/07/2018","3.750","3.800","3.800","3.710","55,81M","0,00%"
"29/06/2018","3.750","3.650","3.750","3.640","79,12M","2,46%"
"28/06/2018","3.660","3.700","3.720","3.660","133,78M","-1,35%"
"27/06/2018","3.710","3.690","3.780","3.690","106,62M","0,54%"
"26/06/2018","3.690","3.600","3.700","3.600","91,25M","0,82%"
"25/06/2018","3.660","3.630","3.690","3.600","97,83M","2,23%"
"22/06/2018","3.580","3.610","3.630","3.540","121,49M","-0,83%"
"21/06/2018","3.610","3.650","3.700","3.610","123,85M","-2,70%"
"20/06/2018","3.710","3.540","3.710","3.510","295,39M","2,77%"
"08/06/2018","3.610","3.710","3.730","3.600","260,40M","-4,24%"
"07/06/2018","3.770","3.800","3.830","3.770","122,72M","-0,53%"
"06/06/2018","3.790","3.790","3.830","3.760","143,55M","-1,04%"
"05/06/2018","3.830","3.680","3.860","3.660","181,38M","5,22%"
"04/06/2018","3.640","3.540","3.660","3.530","141,75M","3,41%"
"31/05/2018","3.520","3.600","3.610","3.500","255,20M","-2,22%"
"30/05/2018","3.600","3.600","3.730","3.590","148,93M","-2,44%"
"28/05/2018","3.690","3.580","3.700","3.560","90,30M","3,65%"
"25/05/2018","3.560","3.540","3.590","3.530","66,37M","0,00%"
"24/05/2018","3.560","3.480","3.590","3.480","84,18M","2,59%"
"23/05/2018","3.470","3.460","3.530","3.450","110,63M","0,00%"
"22/05/2018","3.470","3.420","3.500","3.420","78,67M","1,46%"
"21/05/2018","3.420","3.490","3.490","3.410","57,21M","-2,01%"
"18/05/2018","3.490","3.520","3.530","3.400","75,75M","0,00%"
"17/05/2018","3.490","3.510","3.610","3.490","179,03M","0,29%"
"16/05/2018","3.480","3.280","3.530","3.250","205,41M","3,26%"
"15/05/2018","3.370","3.520","3.530","3.350","230,99M","-4,80%"
