"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol","Perubahan%"
"28/12/2018","1655","1680","1695","1650","12,98M","-0,90%"
"27/12/2018","1670","1705","1740","1665","16,44M","-1,18%"
"26/12/2018","1690","1685","1705","1680","10,36M","-1,74%"
"21/12/2018","1720","1690","1720","1685","12,28M","1,18%"
"20/12/2018","1700","1715","1725","1695","16,13M","-1,16%"
"19/12/2018","1720","1715","1745","1705","28,42M","0,29%"
"18/12/2018","1715","1650","1720","1645","23,71M","2,39%"
"17/12/2018","1675","1705","1720","1670","12,78M","-1,76%"
"14/12/2018","1705","1675","1750","1655","30,83M","1,79%"
"13/12/2018","1675","1690","1715","1660","47,12M","0,00%"
"12/12/2018","1675","1600","1690","1590","71,10M","6,01%"
"11/12/2018","1580","1595","1595","1525","26,77M","-0,63%"
"10/12/2018","1590","1580","1620","1540","33,90M","0,00%"
"07/12/2018","1590","1520","1620","1520","62,33M","5,30%"
"06/12/2018","1510","1495","1545","1495","16,41M","0,33%"
"05/12/2018","1505","1500","1525","1490","24,29M","-1,63%"
"04/12/2018","1530","1575","1575","1510","30,74M","-1,92%"
"03/12/2018","1560","1530","1580","1520","50,74M","3,65%"
"30/11/2018","1505","1500","1515","1480","30,40M","0,67%"
"29/11/2018","1495","1430","1515","1430","63,81M","6,79%"
"28/11/2018","1400","1470","1485","1400","22,88M","-5,08%"
"27/11/2018","1475","1490","1525","1450","44,11M","-0,34%"
"26/11/2018","1480","1375","1485","1360","82,86M","7,64%"
"23/11/2018","1375","1380","1390","1345","20,10M","0,36%"
"22/11/2018","1370","1295","1385","1290","71,89M","6,20%"
"21/11/2018","1290","1250","1300","1230","28,41M","1,18%"
"19/11/2018","1275","1225","1290","1225","34,64M","4,08%"
"16/11/2018","1225","1210","1285","1210","57,88M","2,08%"
"15/11/2018","1200","1125","1200","1125","28,06M","6,19%"
"14/11/2018","1130","1170","1185","1130","17,32M","-3,42%"
"13/11/2018","1170","1140","1185","1140","12,50M","0,00%"
"12/11/2018","1170","1205","1225","1165","16,46M","-2,90%"
"09/11/2018","1205","1270","1270","1200","31,61M","-5,49%"
"08/11/2018","1275","1300","1310","1265","52,08M","0,00%"
"07/11/2018","1275","1190","1275","1190","70,43M","7,14%"
"06/11/2018","1190","1200","1210","1180","16,77M","0,00%"
"05/11/2018","1190","1180","1215","1175","27,21M","0,42%"
"02/11/2018","1185","1180","1205","1170","30,33M","1,72%"
"01/11/2018","1165","1105","1180","1100","61,68M","5,91%"
